title,genres_clean,companies_names,director
i bury the living,Horror,Maxim Productions,Albert Band
invasion u.s.a.,"Action, Thriller",Cannon Films,Joseph Zito
lone wolf mcquade,"Action, Crime, Drama, Romance, Thriller, Western","1818, Lone Wolf McQuade Associates, Topkick Productions",Steve Carver
lord of the flies,"Adventure, Drama, Thriller","Castle Rock Entertainment, Nelson Entertainment, Jack's Camp",Harry Hook
morons from outer space,"Comedy, Science Fiction",no register,Mike Hodges
the people that time forgot,"Adventure, Fantasy, Science Fiction",American International Pictures (AIP),Kevin Connor
ocean's eleven,"Thriller, Music, Comedy, Crime","Warner Bros., Dorchester",Lewis Milestone
the sicilian,Drama,Gladden Entertainment,Michael Cimino
the stunt man,"Action, Comedy, Drama, Thriller","Twentieth Century Fox Film Corporation, Simon Productions",Richard Rush
sudden impact,"Action, Crime, Thriller",Warner Bros.,Clint Eastwood
behind enemy lines,"Action, Drama, Thriller, War","Twentieth Century Fox Film Corporation, Davis Entertainment",John Moore
the affair of the necklace,"Drama, History",Alcon Entertainment,Charles Shyer
the independent,Comedy,no register,Stephen Kessler
porn star: the legend of ron jeremy,Documentary,no register,Scott J. Gill
texas rangers,"Action, Western",Dimension Films,Steve Miner
ocean's eleven,"Thriller, Crime","Village Roadshow Pictures, Section Eight, NPV Entertainment, Jerry Weintraub Productions, Warner Bros., WV Films II",Steven Soderbergh
baran,"Drama, Foreign, Romance",Fouad Nahas,Majid Majidi
the business of strangers,"Drama, Thriller","i5 Films, Headquarters",Patrick Stettner
the incredible shrinking man,"Drama, Science Fiction, Thriller",Universal International Pictures (UI),Jack Arnold
no man's land,"Drama, Action, History","Eurimages, TPS Cinéma, Man's Films, Counihan Villiers Productions, Rai Cinema, Radio Télévision Belge Francophone (RTBF), Télédistributeurs Wallons, Noé Productions, British Screen Finance Ltd, Studio Maj, Fabrica, Foundation Montecinema Verità, The Centre du Cinema et de l'Audiovisuel de la Communauté Française de Belgique, Slovenian Film Fund, Multivision, Canal + Belgique, Fondazione MonteCinemaVerità Locarno, Direction du Développement et de la Coopération (DDC), Département Fédéral des Affaires Etrangères, The European Co-Production Fund Limited",Danis Tanović
piñero,Drama,"GreeneStreet Films, Burnside Entertainment, Lower East Side Films",Leon Ichaso
and then there were none,"Crime, Drama, Mystery",Rene Clair Productions,René Clair
the blue angel,Drama,Universum Film (UFA),Josef von Sternberg
moscow on the hudson,"Comedy, Drama, Romance","Columbia Pictures Corporation, Bavaria Film, ML Delphi Premier Productions",Paul Mazursky
the owl and the pussycat,"Comedy, Romance",Columbia Pictures,Herbert Ross
amélie,"Comedy, Romance","France 3 Cinéma, Claudie Ossard Productions, MMC Independent, Canal+, Tapioca Films, Sofica Sofinergie 5, Victoires Productions, Filmstiftung Nordrhein-Westfalen, Union Générale Cinématographique (UGC)",Jean-Pierre Jeunet
not another teen movie,Comedy,"Original Film, Columbia Pictures Corporation, Neal H. Moritz Productions",Joel Gallen
vanilla sky,"Drama, Mystery, Romance, Science Fiction, Thriller","Paramount Pictures, Cruise-Wagner Productions, Vinyl Films",Cameron Crowe
iris,"Drama, Romance","Miramax Films, BBC Films, Intermedia Films",Richard Eyre
kandahar,Drama,"Bac Films, Studio Canal, Makhmalbaf Productions",Mojtaba Mirtahasebi
lantana,"Crime, Drama, Mystery, Thriller","Australian Film Finance Corporation (AFFC), MBP (Germany), Jan Chapman Productions, The New South Wales Film and Television Office",Ray Lawrence
the royal tenenbaums,"Comedy, Drama",Touchstone Pictures,Wes Anderson
bill & ted's bogus journey,"Adventure, Comedy, Family, Fantasy, Science Fiction","Orion Pictures, Nelson Entertainment",Peter Hewitt
clockwise,Comedy,Thorn EMI Screen Entertainment,Christopher Morahan
the crawling eye,"Horror, Science Fiction",Tempean Films,Quentin Lawrence
the holcroft covenant,"Action, Crime, Thriller",Thorn EMI Screen Entertainment,John Frankenheimer
morgan: a suitable case for treatment,"Comedy, Drama, Fantasy","British Lion Film Corporation, Quintra",Karel Reisz
sheena,"Action, Adventure, Comedy, Fantasy, Science Fiction","Columbia Pictures Corporation, Delphi II Productions, Colgems Productions Ltd.",John Guillermin
silent rage,"Action, Horror, Science Fiction, Thriller","Columbia Pictures Corporation, Topkick Productions",Michael Miller
spacehunter: adventures in the forbidden zone,"Adventure, Science Fiction","Columbia Pictures Corporation, Delphi Productions, Zone Productions",Lamont Johnson
white water summer,"Family, Adventure, Drama","Columbia Pictures Corporation, Polar Entertainment",Jeff Bleckner
how high,Comedy,"Universal Pictures, Jersey Films, Native Pictures Productions",Jesse Dylan
jimmy neutron: boy genius,"Action, Adventure, Animation, Comedy, Family, Fantasy, Science Fiction","Nickelodeon Movies, Universal Cartoon Studios, Paramount Animation",John A. Davis
joe somebody,Comedy,"Regency Enterprises, Fox 2000 Pictures, Kopelson Entertainment, Epsilon Motion Pictures, Atchity Entertainment International (AEI)",John Pasquin
kate & leopold,"Comedy, Fantasy, Romance, Science Fiction","Miramax Films, Konrad Pictures",James Mangold
the lord of the rings: the fellowship of the ring,"Adventure, Fantasy, Action","WingNut Films, New Line Cinema, The Saul Zaentz Company",Peter Jackson
the majestic,"Drama, Romance","Village Roadshow Pictures, Castle Rock Entertainment, NPV Entertainment, Darkwoods Productions",Frank Darabont
a beautiful mind,"Drama, Romance","Imagine Entertainment, DreamWorks SKG, Universal Pictures",Ron Howard
little otik,"Animation, Fantasy, Drama, Horror, Comedy, Science Fiction",Athanor,Jan Švankmajer
the convent,"Horror, Thriller, Comedy",Alpine Pictures,Mike Mendez
the defiant ones,"Crime, Drama","Stanley Kramer Productions, Curtleigh Productions",Stanley Kramer
dodsworth,"Drama, Romance","Samuel Goldwyn Company, The",William Wyler
medium cool,Drama,"Paramount Pictures, H & J",Haskell Wexler
sahara,"Action, Adventure, Drama, War",Columbia Pictures Corporation,Zoltan Korda
fritz the cat,"Animation, Comedy, Drama","Steve Krantz Productions, Cinemation Industries, Black Ink Films, Aurica Finance Company, Fritz Productions",Ralph Bakshi
the nine lives of fritz the cat,"Animation, Comedy","Film Roman, American International Pictures (AIP), Cine Camera",Robert Taylor
the party,Comedy,The Mirisch Corporation,Blake Edwards
separate tables,"Drama, Romance","Hecht-Hill-Lancaster Productions, Norlan Productions, Clifton Productions",Delbert Mann
sex and zen,"Drama, Adventure, Comedy",Golden Harvest Company,Michael Mak
topkapi,"Adventure, Comedy, Crime",Filmways Pictures,Jules Dassin
witness for the prosecution,"Drama, Mystery, Crime",Edward Small Productions,Billy Wilder
ali,Drama,Columbia Pictures Corporation,Michael Mann
black hawk down,"Action, History, War","Jerry Bruckheimer Films, Revolution Studios, Scott Free Productions",Ridley Scott
charlotte gray,"Drama, History, Romance, War","Senator Film Produktion, Ecosse Films, Film4, Pod Films",Gillian Armstrong
yentl,"Music, Drama, Romance","United Artists, Barwood Films, Ladbroke",Barbra Streisand
gosford park,"Drama, Mystery, Thriller",USA Films,Robert Altman
i am sam,Drama,New Line Cinema,Jessie Nelson
monster's ball,"Drama, Romance","Lions Gate Films, Lee Daniels Entertainment",Marc Forster
the shipping news,"Drama, Romance",Miramax Films,Lasse Hallström
the big heat,"Crime, Drama",Columbia Pictures,Fritz Lang
motorama,Comedy,"Planet Productions, Proletariat Productions Corporation",Barry Shils
queen bee,Drama,Columbia Pictures Corporation,Ranald MacDougall
silent trigger,"Drama, Action, Thriller","Newmarket Capital Group, Cine Grande Corporation, Filmline International, Conquistador Entertainment, Algonquin Productions Limited",Russell Mulcahy
murder by death,"Comedy, Crime, Mystery, Thriller","Columbia Pictures Corporation, Rastar Pictures",Robert Moore
the servant,Drama,"Associated British-Pathé, Elstree Distributors, Springbok Productions",Joseph Losey
the waterdance,Drama,No Frills Film Production,Neal Jimenez
come undone,"Romance, Drama","Man's Films, Arte France Cinéma, Radio Télévision Belge Francophone (RTBF), Lancelot Films",Sébastien Lifshitz
orange county,"Comedy, Drama","Paramount Pictures, MTV Films",Jake Kasdan
brotherhood of the wolf,"Adventure, Horror, Action, History","Davis-Films, Eskwad, TF1 Films Production, Canal+, Studio Image Soficas, Natexis Banques Populaires Images",Christophe Gans
another 48 hrs.,"Thriller, Action, Comedy, Crime, Drama",Paramount Pictures,Walter Hill
what time is it there?,"Drama, Romance","Arena Films, Homegreen Films",Tsai Ming-liang
china moon,"Mystery, Thriller",Orion Pictures,John Bailey
the umbrella woman,"Drama, Romance, Foreign",no register,Ken Cameron
maria's lovers,"Drama, Romance",Cannon Group,Andrei Konchalovsky
romantic comedy,"Comedy, Romance","United Artists, The Mirisch Corporation, TAFT Entertainment Pictures",Arthur Hiller
the russia house,"Drama, Action, Thriller, Romance","Pathé Entertainment, Metro-Goldwyn-Mayer (MGM), Star Partners III Ltd.",Fred Schepisi
truly madly deeply,"Fantasy, Drama, Comedy, Science Fiction, Romance","British Broadcasting Corporation (BBC), Lionheart Entertainment, Winston",Anthony Minghella
wuthering heights,"Drama, Romance",American International Pictures (AIP),Robert Fuest
california suite,"Comedy, Drama, Romance","Columbia Pictures, Rastar Films",Herbert Ross
the long gray line,"Comedy, Drama","Columbia Pictures Corporation, Rota Productions",John Ford
the flight of dragons,"Animation, Fantasy, Family",Rankin/Bass Productions,Jules Bass
dragonslayer,Fantasy,"Paramount Pictures, Walt Disney Productions",Matthew Robbins
conan the destroyer,"Adventure, Fantasy, Action","Universal Studios, De Laurentiis Entertainment Group (DEG)",Richard Fleischer
fire and ice,"Animation, Fantasy, Science Fiction","Polyc International BV, Producers Sales Organization (PSO)",Ralph Bakshi
forbidden zone,"Comedy, Fantasy",no register,Richard Elfman
the formula,"Thriller, Crime","Metro-Goldwyn-Mayer (MGM), CIP Filmproduktion GmbH",John G. Avildsen
foxes,"Drama, Thriller",Casablanca Filmworks,Adrian Lyne
galaxina,"Comedy, Science Fiction",Marimark Productions,William Sachs
impostor,"Action, Science Fiction, Thriller","Dimension Films, Marty Katz Productions, Mojo Films, PK Pictures",Gary Fleder
kung pow: enter the fist,"Action, Comedy","Twentieth Century Fox Film Corporation, O Entertainment",Steve Oedekerk
snow dogs,"Adventure, Comedy, Family",Walt Disney Pictures,Brian Levant
48 hrs.,"Thriller, Action, Comedy, Crime, Drama",Paramount Pictures,Walter Hill
the farewell,Drama,no register,Jan Schütte
italian for beginners,"Comedy, Drama, Romance",Zentropa Entertainments,Lone Scherfig
time of favor,Drama,"Israel Film Fund, Yes Productions, Cinema Factory Production Ltd.",Joseph Cedar
blankman,"Action, Adventure, Comedy",Columbia Pictures,Mike Binder
brainstorm,"Science Fiction, Thriller",Metro-Goldwyn-Mayer (MGM),Douglas Trumbull
dragon: the bruce lee story,Drama,"Universal Pictures, Raffaella De Laurentiis Productions",Rob Cohen
the enigma of kaspar hauser,"Drama, History","Werner Herzog Filmproduktion, Zweites Deutsches Fernsehen (ZDF)",Werner Herzog
4 for texas,"Comedy, Western",The Sam Company,Robert Aldrich
heart of glass,"Comedy, Drama, Foreign",Werner Herzog Filmproduktion,Werner Herzog
little dieter needs to fly,Documentary,"Werner Herzog Filmproduktion, Zweites Deutsches Fernsehen (ZDF), ZDF Enterprises",Werner Herzog
m*a*s*h,"Comedy, Drama, War","Twentieth Century Fox Film Corporation, Aspen Productions (I), Ingo Preminger Productions",Robert Altman
mrs. soffel,"Drama, Romance",Metro-Goldwyn-Mayer (MGM),Gillian Armstrong
seconds,"Mystery, Science Fiction, Thriller, Drama","Paramount Pictures, Gibraltar Productions, Joel Productions, John Frankenheimer Productions Inc.",John Frankenheimer
one-eyed jacks,"Western, Action","Paramount Pictures, Pennebaker Productions",Marlon Brando
the count of monte cristo,"Action, Adventure, Drama, Thriller","Spyglass Entertainment, World 2000 Entertainment, Count of Monte Cristo Ltd., Touchstone Pictures",Kevin Reynolds
the mothman prophecies,"Drama, Horror, Mystery",Lakeshore Entertainment,Mark Pellington
a walk to remember,"Drama, Romance","DiNovi Pictures, Pandora Pictures, Gaylord Films, Warner Bros.",Adam Shankman
american adobo,"Comedy, Romance","ABS-CBN Film Productions, Star Cinema Productions, Unitel Classics",Laurice Guillen
beijing bicycle,Drama,"Arc Light Films, Pyramid Productions",Wang Xiaoshuai
hey happy,"Comedy, Horror, Science Fiction",no register,Noam Gonick
maelström,Drama,"Téléfilm Canada, Max Films Productions, Société de Développement des Entreprises Culturelles (SODEC)",Denis Villeneuve
metropolis,"Animation, Science Fiction","Bandai Visual Company, Destination Films, Toho Company, DENTSU Music And Entertainment, Tezuka Production Company Ltd., Madhouse, King Record Co., Kadokawa Shoten Publishing Co., Sony Pictures Television, Studio 4°C, Imagica Corp., Metropolis Project",Rintaro
the son's room,Drama,"Bac Films, Rai Cinemafiction, Canal+, Sacher Film, Telepiù",Nanni Moretti
storytelling,"Comedy, Drama","New Line Cinema, Killer Films, Good Machine",Todd Solondz
waydowntown,"Comedy, Drama, Horror",no register,Gary Burns
the adventures of huck finn,"Action, Adventure, Drama, Family",Walt Disney Pictures,Stephen Sommers
cousins,"Comedy, Romance",Paramount Pictures,Joel Schumacher
falling in love,"Drama, Romance",Paramount Pictures,Ulu Grosbard
young at heart,"Drama, Music, Romance",Arwin Productions,Gordon Douglas
slackers,"Comedy, Romance","Sony Pictures, Screen Gems",Dewey Nicks
birthday girl,"Comedy, Crime, Thriller","HAL Films, Mirage Enterprises, Film4",Jez Butterworth
a rumor of angels,Drama,Cinetel Films,Peter O'Fallon
rare birds,"Comedy, Drama, Mystery, Romance","Pope Productions, BIG Pictures",Sturla Gunnarsson
caged heat,Action,"Artists Entertainment Complex, Renegade Women Co, New World Video",Jonathan Demme
carmen jones,"Drama, Music, Romance",Carlyle Productions,Otto Preminger
the five heartbeats,"Drama, Music",Twentieth Century Fox Film Corporation,Robert Townsend
get out your handkerchiefs,"Romance, Comedy, Drama","CAPAC, Belga Films",Bertrand Blier
going places,"Drama, Comedy","CAPAC, S.N. Prodis, Universal Pictures France, Uranus Productions",Bertrand Blier
honky tonk freeway,"Action, Comedy",no register,John Schlesinger
the hunchback of notre dame,"Horror, Drama, History","Panitalia, Paris Film Productions",Jean Delannoy
the magnificent one,"Action, Comedy","Mondex Films, Les Films Ariane, Cerito Films",Philippe de Broca
big fat liar,"Comedy, Family",Universal Pictures,Shawn Levy
collateral damage,"Action, Thriller, Drama","David Foster Productions, Bel Air Entertainment, Warner Bros., Hacienda Productions",Andrew Davis
rollerball,"Action, Science Fiction, Thriller","Atlas Entertainment, Toho-Towa, Mosaic Media Group, Yorktown Productions, Helkon Media AG, Metro-Goldwyn-Mayer (MGM)",John McTiernan
"scotland, pa.","Comedy, Crime","Abandon Pictures, Paddy Wagon Productions, Veto Chip Productions",Billy Morrissette
baby's day out,"Action, Adventure, Comedy, Family",Twentieth Century Fox Film Corporation,Patrick Read Johnson
